"total_transacoes","escolaridade","sexo","estado_civil","tipo_cartao"
"4149.18","doutorado","M","casado","gold"
"3899.27","mestrado","M","solteiro","gold"
"3360.6","mestrado","F","divorciado","silver"
"3205.12","mestrado","M","casado","gold"
"2897.4534","mestrado","F","casado","silver"
"2574.8","graduacao","F","solteiro","gold"
"2535.8076","doutorado","F","divorciado","blue"
"2500.955","mestrado","F","solteiro","silver"
"2407.4475","sem educacao formal","F","solteiro","silver"
"2327.11","mestrado","F","solteiro","gold"
